Year,Fruit_Number,Fruit_ID,Site_Code,Orchard_Block,Alleyway_Treatment,Section ,Tree_code,Distance,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,1,1,Site_1,Orchard_Block_1,CS,1,1,4.8,9.66,26.4,27.7,23,80,1.42
Year_1,2,2,Site_1,Orchard_Block_1,CS,1,1,4.8,10.74,28.5,28.3,24.7,51,1.21
Year_1,3,3,Site_1,Orchard_Block_1,CS,1,1,4.8,11.43,28.3,28.4,24.3,53,1.38
Year_1,4,4,Site_1,Orchard_Block_1,CS,1,1,4.8,10.87,28.3,29.1,25.8,54,1.18
Year_1,5,5,Site_1,Orchard_Block_1,CS,1,1,4.8,12.07,28.9,30.4,24.3,75,1.4
Year_1,6,6,Site_1,Orchard_Block_1,CS,1,1,4.8,10.7,28.1,28.6,25.7,76,1.67
Year_1,7,7,Site_1,Orchard_Block_1,CS,1,1,4.8,10.32,28,27.5,24.3,51,1.11
Year_1,8,8,Site_1,Orchard_Block_1,CS,1,1,4.8,9.65,27,27.6,23.4,56,0.99
Year_1,9,9,Site_1,Orchard_Block_1,CS,1,1,4.8,10.38,27.9,28.2,24.9,58,1.2
Year_1,10,10,Site_1,Orchard_Block_1,CS,1,1,4.8,9.17,26.8,27.4,23.7,79,1.13
Year_1,1,14,Site_1,Orchard_Block_1,CS,1,2,14.3,12.76,29,30.6,26,48,1.5
Year_1,2,15,Site_1,Orchard_Block_1,CS,1,2,14.3,12.43,29.1,30.4,26.6,52,1.51
Year_1,3,16,Site_1,Orchard_Block_1,CS,1,2,14.3,11.69,28.6,29.8,25.8,50,1.32
Year_1,4,17,Site_1,Orchard_Block_1,CS,1,2,14.3,10.77,28,28.6,25.5,52,1.22
Year_1,5,18,Site_1,Orchard_Block_1,CS,1,2,14.3,10.63,28.9,27.6,25.3,53,1.08
Year_1,6,19,Site_1,Orchard_Block_1,CS,1,2,14.3,10.38,28.4,28.8,24.1,49,1.05
Year_1,7,20,Site_1,Orchard_Block_1,CS,1,2,14.3,10.58,28,28.5,24.4,51,1.19
Year_1,8,21,Site_1,Orchard_Block_1,CS,1,2,14.3,12.74,30.1,29.9,26.3,63,1.55
Year_1,9,22,Site_1,Orchard_Block_1,CS,1,2,14.3,10.64,27.5,28.6,25.2,51,1.27
Year_1,10,23,Site_1,Orchard_Block_1,CS,1,2,14.3,11.3,28.7,28.7,25.5,58,1.35
Year_1,1,27,Site_1,Orchard_Block_1,CS,2,3,23.8,9.95,24.1,28,23.9,79,1.59
Year_1,2,28,Site_1,Orchard_Block_1,CS,2,3,23.8,9.57,24.6,28.3,23.7,47,1.32
Year_1,3,29,Site_1,Orchard_Block_1,CS,2,3,23.8,9.94,25.1,28,23.8,49,1.15
Year_1,4,30,Site_1,Orchard_Block_1,CS,2,3,23.8,7.89,23.3,25.1,23.3,53,1.04
Year_1,5,31,Site_1,Orchard_Block_1,CS,2,3,23.8,8.75,25.6,26.6,22.9,50,0.98
Year_1,6,32,Site_1,Orchard_Block_1,CS,2,3,23.8,9.01,24.8,26.3,23,45,1.11
Year_1,7,33,Site_1,Orchard_Block_1,CS,2,3,23.8,7.81,22.8,25.7,22.5,60,0.94
Year_1,8,34,Site_1,Orchard_Block_1,CS,2,3,23.8,8.88,23.4,26.8,23.2,46,1.1
Year_1,9,35,Site_1,Orchard_Block_1,CS,2,3,23.8,8.8,23.7,25.8,24.1,48,0.99
Year_1,1,37,Site_1,Orchard_Block_1,CS,2,4,33.3,12.29,29.9,29.2,25.9,79,1.82
Year_1,2,38,Site_1,Orchard_Block_1,CS,2,4,33.3,13.43,28,31.1,26.4,78,1.99
Year_1,3,39,Site_1,Orchard_Block_1,CS,2,4,33.3,13.52,29,31.4,26,46,2.01
Year_1,4,40,Site_1,Orchard_Block_1,CS,2,4,33.3,16.73,30.2,34.8,27.7,65,2.54
Year_1,5,41,Site_1,Orchard_Block_1,CS,2,4,33.3,9.95,27.6,27.2,23.6,79,1.41
Year_1,6,42,Site_1,Orchard_Block_1,CS,2,4,33.3,15.29,29.4,33.8,26,69,1.92
Year_1,7,43,Site_1,Orchard_Block_1,CS,2,4,33.3,17.09,31.7,34.7,28.6,57,2.3
Year_1,8,44,Site_1,Orchard_Block_1,CS,2,4,33.3,12.71,28.4,30.6,26.4,78,1.93
Year_1,9,45,Site_1,Orchard_Block_1,CS,2,4,33.3,13.67,28.7,31.3,26.7,68,1.87
Year_1,1,47,Site_1,Orchard_Block_1,CS,3,5,42.8,10.18,26.1,28,23.4,48,1.4
Year_1,2,48,Site_1,Orchard_Block_1,CS,3,5,42.8,10.97,26.6,28.4,25.4,49,1.5
Year_1,3,49,Site_1,Orchard_Block_1,CS,3,5,42.8,10.04,25.3,28.3,23.3,54,1.39
Year_1,4,50,Site_1,Orchard_Block_1,CS,3,5,42.8,10.2,25.8,28.8,23.4,52,1.48
Year_1,5,51,Site_1,Orchard_Block_1,CS,3,5,42.8,10.95,26.7,29.4,24.9,52,1.66
Year_1,6,52,Site_1,Orchard_Block_1,CS,3,5,42.8,11.58,27,29.5,24.8,55,1.63
Year_1,7,53,Site_1,Orchard_Block_1,CS,3,5,42.8,11.95,27.9,29.5,25.8,58,1.62
Year_1,8,54,Site_1,Orchard_Block_1,CS,3,5,42.8,10.12,26.6,27,23.6,54,1.3
Year_1,9,55,Site_1,Orchard_Block_1,CS,3,5,42.8,11.46,26.5,29.5,24.9,44,1.56
Year_1,10,56,Site_1,Orchard_Block_1,CS,3,5,42.8,10.22,24.1,27.4,24.2,59,1.46
Year_1,1,58,Site_1,Orchard_Block_1,CS,3,6,52.3,10.71,27,27.4,25.9,50,1.26
Year_1,2,59,Site_1,Orchard_Block_1,CS,3,6,52.3,10.89,28.5,28,25.8,64,1.32
Year_1,3,60,Site_1,Orchard_Block_1,CS,3,6,52.3,10.09,29,27.2,24.6,78,1.33
Year_1,4,61,Site_1,Orchard_Block_1,CS,3,6,52.3,10.94,29.5,29.9,23.2,52,1.47
Year_1,5,62,Site_1,Orchard_Block_1,CS,3,6,52.3,11.67,28.9,29.6,25.7,51,1.59
Year_1,6,63,Site_1,Orchard_Block_1,CS,3,6,52.3,11.95,29,29.7,25.1,52,1.49
Year_1,7,64,Site_1,Orchard_Block_1,CS,3,6,52.3,10.1,28.9,28.5,23.3,53,1.28
Year_1,8,65,Site_1,Orchard_Block_1,CS,3,6,52.3,10.41,28.4,27.5,25.5,54,1.26
Year_1,9,66,Site_1,Orchard_Block_1,CS,3,6,52.3,10.51,29.8,27.6,24.9,73,1.28
Year_1,10,67,Site_1,Orchard_Block_1,CS,3,6,52.3,11.76,29.6,29.3,25.1,77,1.62
Year_1,1,69,Site_1,Orchard_Block_1,CS,4,7,61.8,13.12,30.3,30.3,26.6,65,1.7
Year_1,2,70,Site_1,Orchard_Block_1,CS,4,7,61.8,10.77,28.4,27.7,25.8,52,1.38
Year_1,3,71,Site_1,Orchard_Block_1,CS,4,7,61.8,12.54,29.7,30.5,25.2,58,1.75
Year_1,4,72,Site_1,Orchard_Block_1,CS,4,7,61.8,12.38,29.8,29.1,25.5,63,1.63
Year_1,5,73,Site_1,Orchard_Block_1,CS,4,7,61.8,13.21,30.8,31.1,25,83,1.7
Year_1,6,74,Site_1,Orchard_Block_1,CS,4,7,61.8,14.89,30.3,31.7,27,76,2.13
Year_1,7,75,Site_1,Orchard_Block_1,CS,4,7,61.8,12.57,29,30.6,25,88,1.59
Year_1,8,76,Site_1,Orchard_Block_1,CS,4,7,61.8,12.61,30.6,29.6,25.8,59,1.72
Year_1,9,77,Site_1,Orchard_Block_1,CS,4,7,61.8,10.77,28.8,28,25.5,58,1.3
Year_1,1,78,Site_1,Orchard_Block_1,CS,4,8,71.3,12.03,31.9,29.1,26.1,72,1.59
Year_1,2,79,Site_1,Orchard_Block_1,CS,4,8,71.3,14.65,29.2,31.3,27.2,69,2.19
Year_1,3,80,Site_1,Orchard_Block_1,CS,4,8,71.3,14.14,30,31,26.7,59,1.93
Year_1,4,81,Site_1,Orchard_Block_1,CS,4,8,71.3,13.85,30.8,30.4,26,67,1.83
Year_1,5,82,Site_1,Orchard_Block_1,CS,4,8,71.3,15.39,30.5,31.6,27.3,68,2.17
Year_1,6,83,Site_1,Orchard_Block_1,CS,4,8,71.3,15.6,30.9,32.4,27.8,70,2.24
Year_1,7,84,Site_1,Orchard_Block_1,CS,4,8,71.3,15.17,31.4,31.8,27.3,78,2.2
Year_1,8,85,Site_1,Orchard_Block_1,CS,4,8,71.3,15.04,30.6,32.1,27.6,78,2.28
Year_1,9,86,Site_1,Orchard_Block_1,CS,4,8,71.3,14.1,30.6,31.6,26.3,79,1.95
Year_1,10,87,Site_1,Orchard_Block_1,CS,4,8,71.3,14.27,29,30.6,28.5,81,2.07
Year_1,1,90,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.52,27.2,29.4,25.3,78,1.82
Year_1,2,91,Site_1,Orchard_Block_1,AMWS,1,1,4.8,14.27,29.6,31.9,26.5,67,2.47
Year_1,3,92,Site_1,Orchard_Block_1,AMWS,1,1,4.8,10.58,27,28.5,24.1,67,1.52
Year_1,4,93,Site_1,Orchard_Block_1,AMWS,1,1,4.8,12.88,30.6,28,25,54,2.23
Year_1,5,94,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.12,29,28.2,24.8,57,1.59
Year_1,6,95,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.24,28.3,28.5,24.1,53,1.51
Year_1,7,96,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.95,28.9,29.1,25,80,1.64
Year_1,8,97,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.68,28.8,29.3,24.5,63,1.48
Year_1,9,98,Site_1,Orchard_Block_1,AMWS,1,1,4.8,11.96,29.2,29.6,25,63,2.07
Year_1,10,99,Site_1,Orchard_Block_1,AMWS,1,1,4.8,14.16,31.9,31.4,26.6,60,1.71
Year_1,1,100,Site_1,Orchard_Block_1,AMWS,1,2,14.3,12.23,30.1,30.1,25,50,1.63
Year_1,2,101,Site_1,Orchard_Block_1,AMWS,1,2,14.3,11.98,29.9,30.2,25.4,61,1.44
Year_1,3,102,Site_1,Orchard_Block_1,AMWS,1,2,14.3,12.37,30.5,30.1,25.2,86,1.71
Year_1,4,103,Site_1,Orchard_Block_1,AMWS,1,2,14.3,8.39,26.5,26,23.1,82,1.09
Year_1,5,104,Site_1,Orchard_Block_1,AMWS,1,2,14.3,13.37,31.2,31.2,25.7,59,1.78
Year_1,6,105,Site_1,Orchard_Block_1,AMWS,1,2,14.3,13.66,30.6,31,25.5,58,2
Year_1,7,106,Site_1,Orchard_Block_1,AMWS,1,2,14.3,12.32,29.8,30,25.3,56,1.88
Year_1,8,107,Site_1,Orchard_Block_1,AMWS,1,2,14.3,12.95,30,30.8,26.2,64,1.65
Year_1,9,108,Site_1,Orchard_Block_1,AMWS,1,2,14.3,12.55,29.5,30.4,26.1,63,1.41
Year_1,1,109,Site_1,Orchard_Block_1,AMWS,2,3,23.8,12.19,27.8,29,25.3,49,1.99
Year_1,2,110,Site_1,Orchard_Block_1,AMWS,2,3,23.8,11.7,26.4,29.7,25.8,52,1.71
Year_1,3,111,Site_1,Orchard_Block_1,AMWS,2,3,23.8,12.21,27.5,30.4,25.3,54,1.88
Year_1,4,112,Site_1,Orchard_Block_1,AMWS,2,3,23.8,11.09,25.1,28.2,24.3,55,1.76
Year_1,5,113,Site_1,Orchard_Block_1,AMWS,2,3,23.8,10.53,26,28.2,24.6,80,1.82
Year_1,6,114,Site_1,Orchard_Block_1,AMWS,2,3,23.8,11.97,27.7,29.2,25.2,49,1.78
Year_1,7,115,Site_1,Orchard_Block_1,AMWS,2,3,23.8,12.87,27.9,30.9,25.2,50,1.96
Year_1,8,116,Site_1,Orchard_Block_1,AMWS,2,3,23.8,13.63,28.2,31.1,26.9,52,2.23
Year_1,9,117,Site_1,Orchard_Block_1,AMWS,2,3,23.8,10.88,25.6,28.8,24.9,49,1.55
Year_1,10,118,Site_1,Orchard_Block_1,AMWS,2,3,23.8,12.1,26.6,30.8,25.8,53,1.79
Year_1,1,120,Site_1,Orchard_Block_1,AMWS,2,4,33.3,15.22,30.7,31.7,28.6,67,2.3
Year_1,2,121,Site_1,Orchard_Block_1,AMWS,2,4,33.3,12.21,28.3,29,26.4,69,1.77
Year_1,3,122,Site_1,Orchard_Block_1,AMWS,2,4,33.3,14.74,30.7,31.1,27.8,66,2.29
Year_1,4,123,Site_1,Orchard_Block_1,AMWS,2,4,33.3,10.88,28.7,28.7,25.8,71,1.46
Year_1,5,124,Site_1,Orchard_Block_1,AMWS,2,4,33.3,14.34,31.2,32.8,26.5,68,2.01
Year_1,6,125,Site_1,Orchard_Block_1,AMWS,2,4,33.3,13.87,30.8,31.4,26,79,2
Year_1,7,126,Site_1,Orchard_Block_1,AMWS,2,4,33.3,12.19,29.1,29.5,25.5,74,1.76
Year_1,8,127,Site_1,Orchard_Block_1,AMWS,2,4,33.3,14.68,30,31.7,27.9,61,2.15
Year_1,9,128,Site_1,Orchard_Block_1,AMWS,2,4,33.3,13.32,30.5,30.4,26.7,76,1.91
Year_1,10,129,Site_1,Orchard_Block_1,AMWS,2,4,33.3,13.92,29.2,30.4,27.2,72,2.06
Year_1,1,131,Site_1,Orchard_Block_1,AMWS,3,5,42.8,12.68,29.1,30.6,25.4,72,1.92
Year_1,2,132,Site_1,Orchard_Block_1,AMWS,3,5,42.8,12.99,30,30.4,26.1,78,1.86
Year_1,3,133,Site_1,Orchard_Block_1,AMWS,3,5,42.8,15.84,30.5,33.3,27,60,2.28
Year_1,4,134,Site_1,Orchard_Block_1,AMWS,3,5,42.8,12.5,29.7,29.3,26.9,59,1.77
Year_1,5,135,Site_1,Orchard_Block_1,AMWS,3,5,42.8,13.79,29.6,30.3,27.8,54,1.91
Year_1,6,136,Site_1,Orchard_Block_1,AMWS,3,5,42.8,11.5,29.4,29.2,25.8,63,1.68
Year_1,7,137,Site_1,Orchard_Block_1,AMWS,3,5,42.8,15.8,30.2,32.2,27.2,57,2.71
Year_1,8,138,Site_1,Orchard_Block_1,AMWS,3,5,42.8,13.53,30.2,31.8,26.6,74,1.94
Year_1,1,139,Site_1,Orchard_Block_1,AMWS,3,6,52.3,14.28,30.2,31.4,26,82,1.92
Year_1,2,140,Site_1,Orchard_Block_1,AMWS,3,6,52.3,13.1,30.8,30.8,25.3,66,1.63
Year_1,3,141,Site_1,Orchard_Block_1,AMWS,3,6,52.3,16.48,32.5,32.1,27.8,55,2.32
Year_1,4,142,Site_1,Orchard_Block_1,AMWS,3,6,52.3,15.15,31.8,31.3,27,59,1.97
Year_1,5,143,Site_1,Orchard_Block_1,AMWS,3,6,52.3,14.87,31.9,31.8,27.2,56,2.02
Year_1,6,144,Site_1,Orchard_Block_1,AMWS,3,6,52.3,15.29,31.5,31.4,27.9,47,2.18
Year_1,7,145,Site_1,Orchard_Block_1,AMWS,3,6,52.3,16.17,31.8,32.4,27.6,53,2.17
Year_1,8,146,Site_1,Orchard_Block_1,AMWS,3,6,52.3,14.75,30.3,31.4,27.8,62,1.96
Year_1,9,147,Site_1,Orchard_Block_1,AMWS,3,6,52.3,14.56,30.2,31,27.6,89,1.97
Year_1,10,148,Site_1,Orchard_Block_1,AMWS,3,6,52.3,14.62,30.3,32.1,26.3,58,1.81
Year_1,1,150,Site_1,Orchard_Block_1,AMWS,4,7,61.8,11.64,29.7,29.5,24.2,82,1.35
Year_1,2,151,Site_1,Orchard_Block_1,AMWS,4,7,61.8,13.54,31.7,30.5,26,72,1.73
Year_1,3,152,Site_1,Orchard_Block_1,AMWS,4,7,61.8,14.09,31.5,31.3,26,80,1.47
Year_1,4,153,Site_1,Orchard_Block_1,AMWS,4,7,61.8,9.3,28.1,26.2,24.9,72,1.59
Year_1,5,154,Site_1,Orchard_Block_1,AMWS,4,7,61.8,13.52,30.7,30.3,26.2,81,1.45
Year_1,6,155,Site_1,Orchard_Block_1,AMWS,4,7,61.8,13.09,29.6,29.8,26.1,66,1.78
Year_1,7,156,Site_1,Orchard_Block_1,AMWS,4,7,61.8,9.81,26.8,27.1,24.1,82,1.4
Year_1,8,157,Site_1,Orchard_Block_1,AMWS,4,7,61.8,11.44,29.7,29.5,25.8,72,1.72
Year_1,9,158,Site_1,Orchard_Block_1,AMWS,4,7,61.8,12.17,28.5,30.3,25.4,78,1.23
Year_1,1,159,Site_1,Orchard_Block_1,AMWS,4,8,71.3,15.09,31,31.9,28.9,58,1.92
Year_1,2,160,Site_1,Orchard_Block_1,AMWS,4,8,71.3,14.6,30.9,31.3,26.8,48,1.84
Year_1,3,161,Site_1,Orchard_Block_1,AMWS,4,8,71.3,13.88,30.2,31,26.1,65,1.98
Year_1,4,162,Site_1,Orchard_Block_1,AMWS,4,8,71.3,13.42,30.5,31.1,26,78,1.87
Year_1,5,163,Site_1,Orchard_Block_1,AMWS,4,8,71.3,13.2,29.4,30.8,26.2,77,1.98
Year_1,6,164,Site_1,Orchard_Block_1,AMWS,4,8,71.3,8.59,26.6,26.2,23.2,64,0.87
Year_1,7,165,Site_1,Orchard_Block_1,AMWS,4,8,71.3,9.99,27.9,28.6,24.9,85,1.28
Year_1,8,166,Site_1,Orchard_Block_1,AMWS,4,8,71.3,11.56,29.1,29.7,25.4,74,1.51
Year_1,9,167,Site_1,Orchard_Block_1,AMWS,4,8,71.3,12.66,30.2,29.6,25.7,71,1.68
Year_1,10,168,Site_1,Orchard_Block_1,AMWS,4,8,71.3,13.61,29.8,30.1,25.4,66,1.93
Year_1,1,169,Site_1,Orchard_Block_1,SWS,1,1,4.8,12.81,30.4,30.3,25.3,73,2.22
Year_1,2,170,Site_1,Orchard_Block_1,SWS,1,1,4.8,14.49,30.1,31.3,25.2,73,1.98
Year_1,3,171,Site_1,Orchard_Block_1,SWS,1,1,4.8,13.89,30,31.7,26.6,60,2.01
Year_1,4,172,Site_1,Orchard_Block_1,SWS,1,1,4.8,13.84,29.6,31.5,26.7,72,2.11
Year_1,5,173,Site_1,Orchard_Block_1,SWS,1,1,4.8,13.05,29.6,30.2,26,69,2.09
Year_1,6,174,Site_1,Orchard_Block_1,SWS,1,1,4.8,12.15,28.4,29,24.3,78,1.9
Year_1,7,175,Site_1,Orchard_Block_1,SWS,1,1,4.8,15.07,30.1,32.2,26.7,52,1.87
Year_1,8,176,Site_1,Orchard_Block_1,SWS,1,1,4.8,13.57,29.6,30.2,25.7,64,2.21
Year_1,9,177,Site_1,Orchard_Block_1,SWS,1,1,4.8,11.75,28.9,30.1,24.8,85,1.82
Year_1,10,178,Site_1,Orchard_Block_1,SWS,1,1,4.8,12.24,29,28.1,25.2,50,1.96
Year_1,1,179,Site_1,Orchard_Block_1,SWS,1,2,14.3,12.07,32.4,27.6,26.1,73,1.18
Year_1,2,180,Site_1,Orchard_Block_1,SWS,1,2,14.3,11.11,29.3,27.7,25.4,78,1.15
Year_1,3,181,Site_1,Orchard_Block_1,SWS,1,2,14.3,15.6,32.9,31.4,27.5,63,1.91
Year_1,4,182,Site_1,Orchard_Block_1,SWS,1,2,14.3,12.53,31.4,29.7,25.3,72,1.42
Year_1,5,183,Site_1,Orchard_Block_1,SWS,1,2,14.3,15.18,31.5,31.2,27.6,63,1.8
Year_1,6,184,Site_1,Orchard_Block_1,SWS,1,2,14.3,15.31,31.5,32.6,26.2,67,2.05
Year_1,7,185,Site_1,Orchard_Block_1,SWS,1,2,14.3,9.34,28.7,26.7,24.4,81,0.88
Year_1,8,186,Site_1,Orchard_Block_1,SWS,1,2,14.3,9.33,27.2,26.1,22.2,75,0.89
Year_1,9,187,Site_1,Orchard_Block_1,SWS,1,2,14.3,9.43,26.6,27.2,23.5,78,0.91
Year_1,10,188,Site_1,Orchard_Block_1,SWS,1,2,14.3,12.76,30.3,30,26.9,79,1.45
Year_1,1,191,Site_1,Orchard_Block_1,SWS,2,3,23.8,12.74,29.1,30,25.8,81,1.73
Year_1,2,192,Site_1,Orchard_Block_1,SWS,2,3,23.8,10.43,28.6,28.1,24.9,70,1.63
Year_1,3,193,Site_1,Orchard_Block_1,SWS,2,3,23.8,13.94,30.3,30.9,27.9,78,1.89
Year_1,4,194,Site_1,Orchard_Block_1,SWS,2,3,23.8,13.43,30,30.1,26.9,69,1.85
Year_1,5,195,Site_1,Orchard_Block_1,SWS,2,3,23.8,15.23,31.5,31.4,27.6,78,2.32
Year_1,6,196,Site_1,Orchard_Block_1,SWS,2,3,23.8,13.96,30.7,30.9,26.7,56,2.29
Year_1,7,197,Site_1,Orchard_Block_1,SWS,2,3,23.8,13.14,30.9,29.6,26.4,82,1.89
Year_1,8,198,Site_1,Orchard_Block_1,SWS,2,3,23.8,12.87,30.5,30.6,26.2,66,1.72
Year_1,9,199,Site_1,Orchard_Block_1,SWS,2,3,23.8,14.84,32.7,31.1,27.8,63,1.81
Year_1,10,200,Site_1,Orchard_Block_1,SWS,2,3,23.8,12.21,29.2,30.1,26.8,54,1.65
Year_1,1,201,Site_1,Orchard_Block_1,SWS,2,4,33.3,13.25,29.4,31.8,27.7,80,1.82
Year_1,2,202,Site_1,Orchard_Block_1,SWS,2,4,33.3,14.43,30.3,31.5,27.1,78,2.27
Year_1,3,203,Site_1,Orchard_Block_1,SWS,2,4,33.3,14.05,29,31.8,27.1,81,2.54
Year_1,4,204,Site_1,Orchard_Block_1,SWS,2,4,33.3,13.57,29.1,30.1,27.6,82,2.48
Year_1,5,205,Site_1,Orchard_Block_1,SWS,2,4,33.3,12.41,29.5,30.2,27.7,81,1.58
Year_1,6,206,Site_1,Orchard_Block_1,SWS,2,4,33.3,11.19,28,29.6,25.6,82,1.49
Year_1,7,207,Site_1,Orchard_Block_1,SWS,2,4,33.3,15.81,31.7,32.4,27.3,76,2.63
Year_1,8,208,Site_1,Orchard_Block_1,SWS,2,4,33.3,14.61,30.2,31.6,27.7,78,2.24
Year_1,9,209,Site_1,Orchard_Block_1,SWS,2,4,33.3,12.71,29.2,30.6,26.2,57,1.86
Year_1,1,210,Site_1,Orchard_Block_1,SWS,3,5,42.8,12.32,27,29.9,26.5,63,1.42
Year_1,2,211,Site_1,Orchard_Block_1,SWS,3,5,42.8,11.69,28.7,29.2,25.3,51,1.23
Year_1,3,212,Site_1,Orchard_Block_1,SWS,3,5,42.8,10.61,26.7,28.6,24.5,56,1.29
Year_1,4,213,Site_1,Orchard_Block_1,SWS,3,5,42.8,10.48,27.7,28.2,24,54,2.26
Year_1,5,214,Site_1,Orchard_Block_1,SWS,3,5,42.8,12.15,28.3,30.8,25.5,59,1.48
Year_1,6,215,Site_1,Orchard_Block_1,SWS,3,5,42.8,14.36,30.3,30.4,26.1,55,2.03
Year_1,7,216,Site_1,Orchard_Block_1,SWS,3,5,42.8,9.7,26.2,27.1,23.9,65,1.66
Year_1,8,217,Site_1,Orchard_Block_1,SWS,3,5,42.8,9.53,25.3,27.9,24.8,59,1.57
Year_1,9,218,Site_1,Orchard_Block_1,SWS,3,5,42.8,12.12,28.5,29,24.5,54,1.64
Year_1,10,219,Site_1,Orchard_Block_1,SWS,3,5,42.8,10.94,28.6,28.7,24.1,55,1.71
Year_1,1,221,Site_1,Orchard_Block_1,SWS,3,6,52.3,10.21,28.6,27,24.6,56,1.02
Year_1,2,222,Site_1,Orchard_Block_1,SWS,3,6,52.3,9.01,29,26.2,21.9,57,0.86
Year_1,3,223,Site_1,Orchard_Block_1,SWS,3,6,52.3,11.2,29.2,28.1,25.1,73,1.1
Year_1,4,224,Site_1,Orchard_Block_1,SWS,3,6,52.3,12.82,29.6,30.3,26,78,1.43
Year_1,5,225,Site_1,Orchard_Block_1,SWS,3,6,52.3,9.47,28.7,26.1,24.1,69,0.89
Year_1,6,226,Site_1,Orchard_Block_1,SWS,3,6,52.3,13.74,30.1,30.4,27.3,61,1.47
Year_1,7,227,Site_1,Orchard_Block_1,SWS,3,6,52.3,12.79,30.2,30.3,26.6,76,1.4
Year_1,8,228,Site_1,Orchard_Block_1,SWS,3,6,52.3,12.81,29.8,29.6,26.4,47,1.43
Year_1,1,229,Site_1,Orchard_Block_1,SWS,4,7,61.8,10.32,28.8,28.6,24.1,50,1.56
Year_1,2,230,Site_1,Orchard_Block_1,SWS,4,7,61.8,14.07,30.5,31.9,26,47,2.18
Year_1,3,231,Site_1,Orchard_Block_1,SWS,4,7,61.8,12.54,29.8,30.5,26.8,68,1.93
Year_1,4,232,Site_1,Orchard_Block_1,SWS,4,7,61.8,13.72,30.7,30.7,26.7,43,2.24
Year_1,5,233,Site_1,Orchard_Block_1,SWS,4,7,61.8,14.99,31.9,31.9,27.5,69,2.32
Year_1,6,234,Site_1,Orchard_Block_1,SWS,4,7,61.8,14.57,31.2,31.2,26.4,76,2.22
Year_1,7,235,Site_1,Orchard_Block_1,SWS,4,7,61.8,13.32,30.3,31.8,26.2,68,2.04
Year_1,8,236,Site_1,Orchard_Block_1,SWS,4,7,61.8,13.7,30.2,30.5,26.5,49,2.1
Year_1,9,237,Site_1,Orchard_Block_1,SWS,4,7,61.8,13.07,29,30.4,25.3,50,2.13
Year_1,10,238,Site_1,Orchard_Block_1,SWS,4,7,61.8,14.58,30.9,31.7,26.5,61,1.09
Year_1,1,240,Site_1,Orchard_Block_1,SWS,4,8,71.3,11.82,29.2,28.9,26.9,80,1.22
Year_1,2,241,Site_1,Orchard_Block_1,SWS,4,8,71.3,8.63,26.3,26.2,23.1,77,0.81
Year_1,3,242,Site_1,Orchard_Block_1,SWS,4,8,71.3,11.57,28.7,29.9,25.6,56,1.36
Year_1,4,243,Site_1,Orchard_Block_1,SWS,4,8,71.3,12.35,30.5,29.2,26.3,71,1.25
Year_1,5,244,Site_1,Orchard_Block_1,SWS,4,8,71.3,13.04,29,30,26.2,62,1.51
Year_1,6,245,Site_1,Orchard_Block_1,SWS,4,8,71.3,11.37,29.4,29.7,25.4,73,1.12
Year_1,7,246,Site_1,Orchard_Block_1,SWS,4,8,71.3,14.27,31.1,30.7,27.7,52,1.71
Year_1,8,247,Site_1,Orchard_Block_1,SWS,4,8,71.3,12.21,29.4,30.7,25.1,49,1.3
Year_1,9,248,Site_1,Orchard_Block_1,SWS,4,8,71.3,12.75,30.9,30.9,27,67,1.41
Year_1,10,249,Site_1,Orchard_Block_1,SWS,4,8,71.3,12.14,28.7,29.6,26.4,53,1.31
Year_1,1,251,Site_1,Orchard_Block_2,CS,1,1,4.8,10.68,28.4,27.8,25.1,53,1.1
Year_1,2,252,Site_1,Orchard_Block_2,CS,1,1,4.8,12.02,28.4,28,26.1,50,1.36
Year_1,3,253,Site_1,Orchard_Block_2,CS,1,1,4.8,11.82,29.8,28.5,25.7,67,1.42
Year_1,4,254,Site_1,Orchard_Block_2,CS,1,1,4.8,10.69,28.6,27.7,24.6,54,1.28
Year_1,5,255,Site_1,Orchard_Block_2,CS,1,1,4.8,11.8,28.2,29.4,26.8,52,1.48
Year_1,6,256,Site_1,Orchard_Block_2,CS,1,1,4.8,10.62,27.9,28.7,24.3,59,1.27
Year_1,7,257,Site_1,Orchard_Block_2,CS,1,1,4.8,10.79,28.5,28.3,25.4,49,1.29
Year_1,8,258,Site_1,Orchard_Block_2,CS,1,1,4.8,11.38,28.5,29.6,24,68,1.43
Year_1,9,259,Site_1,Orchard_Block_2,CS,1,1,4.8,10.91,28,28,24.7,60,1.27
Year_1,10,260,Site_1,Orchard_Block_2,CS,1,1,4.8,10.84,28.1,28.2,24.6,72,1.34
Year_1,1,261,Site_1,Orchard_Block_2,CS,1,2,14.3,11.09,27.2,29.7,25.6,77,1.97
Year_1,2,262,Site_1,Orchard_Block_2,CS,1,2,14.3,12,27.3,29.2,26.5,75,2.26
