Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_1,Orchard_Block_2,SWS,47.5,Section 38-57,0.62962963,0.481481481,0.032090147,0.074074074,0.425925926,0.111111111,0.018518519,0,,10,,12.2255,29.81,29.3,25.655,65.25,1.6095
Year_1,2017,Site_1,Orchard_Block_2,SWS,66.5,Section 57-76,0.740740741,0.481481481,0.043877447,0.092592593,0.611111111,0.037037037,0,0,,10,,12.1275,28.96,29.72,25.33,61.1,1.617
Year_1,2017,Site_2,Orchard_Block_3,AMWS,9.5,Section 0-19,0.72,0.46,0.068182058,0.4,0.22,0.02,0.06,0.02,,9.5,,11.32157895,29.16315789,29.65263158,29.52105263,73.68421053,1.52
Year_1,2017,Site_2,Orchard_Block_3,AMWS,28.5,Section 19-38,0.461538462,0.365384615,0,0.153846154,0.269230769,0.019230769,0.019230769,0,,8,,10.475625,28.025,28.56875,28.50625,67.375,1.6425
Year_1,2017,Site_2,Orchard_Block_3,AMWS,47.5,Section 38-57,0.358490566,0.245283019,0.013078249,0.018867925,0.283018868,0.018867925,0,0.037735849,,9,,12.695,29.59444444,30.06111111,30.1,61.27777778,2.169444444
Year_1,2017,Site_2,Orchard_Block_3,AMWS,66.5,Section 57-76,0.591836735,0.387755102,0,0,0.551020408,0.040816327,0,0,,9.5,,12.54684211,28.31578947,28.83684211,28.88421053,64.05263158,1.913684211
Year_1,2017,Site_2,Orchard_Block_3,CS,9.5,Section 0-19,0.392156863,0.274509804,0.027182242,0.058823529,0.215686275,0.058823529,0.039215686,0.019607843,,10,,11.464,29.41,29.85,29.88,71.2,1.872
Year_1,2017,Site_2,Orchard_Block_3,CS,28.5,Section 19-38,0.156862745,0.137254902,0.021541417,0.098039216,0.019607843,0,0.019607843,0.019607843,,8.5,,11.62411765,29.5,30.03529412,30.01764706,65.05882353,1.607058824
Year_1,2017,Site_2,Orchard_Block_3,CS,47.5,Section 38-57,0.176470588,0.176470588,0.013591121,0.078431373,0.078431373,0.019607843,0,0,,7,,11.45,29.06428571,29.51428571,29.69285714,70.71428571,1.778571429
Year_1,2017,Site_2,Orchard_Block_3,CS,66.5,Section 57-76,0.117647059,0.117647059,0,0.019607843,0.058823529,0.039215686,0,0,,9.5,,10.89368421,27.43684211,27.93684211,28.03684211,60.15789474,1.646315789
Year_1,2017,Site_2,Orchard_Block_3,SWS,9.5,Section 0-19,0.431372549,0.352941176,0.03564348,0.254901961,0.117647059,0,0.039215686,0.019607843,,8.5,,10.2,27.03529412,27.71764706,27.42352941,68.52941176,1.443529412
Year_1,2017,Site_2,Orchard_Block_3,SWS,28.5,Section 19-38,0.235294118,0.215686275,0.013591121,0.039215686,0.156862745,0,0.019607843,0.019607843,,9,,9.45,26.83333333,27.32777778,27.20555556,71.33333333,1.353888889
Year_1,2017,Site_2,Orchard_Block_3,SWS,47.5,Section 38-57,0.294117647,0.235294118,0,0.019607843,0.235294118,0.039215686,0,0,,9,,10.00166667,26.08888889,26.78888889,26.52222222,69.11111111,1.515555556
Year_1,2017,Site_2,Orchard_Block_3,SWS,66.5,Section 57-76,0.411764706,0.37254902,0.037952951,0.039215686,0.156862745,0.137254902,0.058823529,0.019607843,,9,,11.78611111,27.95,28.43888889,28.45555556,72.77777778,1.965555556
Year_1,2017,Site_2,Orchard_Block_4,AMWS,9.5,Section 0-19,0.745098039,0.37254902,0.057273466,0.37254902,0.294117647,0.039215686,0.039215686,0,,8.5,,12.87470588,28.04117647,28.55882353,28.54705882,67.88235294,1.998235294
Year_1,2017,Site_2,Orchard_Block_4,AMWS,28.5,Section 19-38,0.352941176,0.254901961,0.039268098,0.156862745,0.196078431,0,0,0,,8.5,,12.97823529,30.05882353,30.55882353,30.55294118,65.70588235,2.098235294
Year_1,2017,Site_2,Orchard_Block_4,AMWS,47.5,Section 38-57,0.235294118,0.176470588,0.03709797,0.137254902,0.078431373,0.019607843,0,0,,9.5,,10.86421053,29.19473684,29.66842105,29.73684211,63.63157895,1.258947368
Year_1,2017,Site_2,Orchard_Block_4,AMWS,66.5,Section 57-76,0.862745098,0.588235294,0.114574491,0.450980392,0.333333333,0.019607843,0.019607843,0.039215686,,9.5,,12.22736842,28.61578947,29.15789474,29.03684211,73.15789474,1.815263158
Year_1,2017,Site_2,Orchard_Block_4,CS,9.5,Section 0-19,1.176470588,0.62745098,0.118175224,0.666666667,0.411764706,0.039215686,0.039215686,0.019607843,,8,,12.676875,29.40625,30.1375,29.9625,75.375,2.235
